#This file stores the Cloud Data for each cloud.
#CurrentFrame;CloudID;AgentsInCloud;CloudPositionX;CloudPositionY;CapturedCellsQuantity;CellIDs;
1;0;200;10,136;74,000;26;637;564;563;562;561;560;489;488;487;486;485;414;413;412;411;410;339;338;337;336;335;264;263;262;261;260
1;1;200;139,920;74,013;26;5214;5213;5212;5211;5210;5139;5138;5137;5136;5135;5512;5439;5438;5437;5436;5435;5364;5363;5362;5361;5360;5289;5288;5287;5286;5285
2;0;200;10,265;74,016;37;638;637;636;564;563;562;561;560;490;489;488;487;486;485;484;415;414;413;412;411;410;409;340;339;338;337;336;335;334;264;263;262;261;260;188;187;186
2;1;200;139,790;74,023;37;5215;5214;5213;5212;5211;5210;5209;5139;5138;5137;5136;5135;5063;5062;5061;5513;5512;5511;5439;5438;5437;5436;5435;5365;5364;5363;5362;5361;5360;5359;5290;5289;5288;5287;5286;5285;5284
3;0;200;10,393;74,040;41;639;638;637;636;635;565;564;563;562;561;560;559;490;489;488;487;486;485;484;415;414;413;412;411;410;409;340;339;338;337;336;335;334;264;263;262;261;260;188;187;186
3;1;200;139,660;74,029;41;5215;5214;5213;5212;5211;5210;5209;5140;5139;5138;5137;5136;5135;5134;5064;5063;5062;5061;5060;5513;5512;5511;5439;5438;5437;5436;5435;5365;5364;5363;5362;5361;5360;5359;5290;5289;5288;5287;5286;5285;5284
4;0;200;10,522;74,052;49;713;712;711;639;638;637;636;635;565;564;563;562;561;560;559;490;489;488;487;486;485;484;416;415;414;413;412;411;410;409;340;339;338;337;336;335;334;265;264;263;262;261;260;259;189;188;187;186;185
4;1;200;139,530;74,036;49;4988;4987;4986;5439;5438;5437;5215;5436;5214;5435;5213;5434;5212;5211;5210;5209;5365;5364;5363;5362;5361;5140;5360;5139;5138;5359;5514;5137;5513;5136;5512;5135;5511;5134;5510;5291;5290;5289;5288;5287;5064;5440;5063;5286;5285;5062;5284;5061;5060
5;0;200;10,651;74,073;63;640;639;638;637;636;635;634;566;565;564;563;562;561;560;559;558;491;490;489;488;487;486;485;484;483;416;714;415;713;414;712;413;711;412;710;411;410;409;408;341;340;339;338;337;336;335;334;333;265;264;263;262;261;260;259;189;188;187;186;185;113;112;111
5;1;200;139,400;74,038;63;5366;5141;5216;5365;5140;5364;5215;5139;5363;5214;5138;5362;5213;5137;5361;5212;5136;5360;5211;5135;5359;5210;4989;5134;5209;5439;5358;4988;5133;5208;5438;4987;5437;4986;5436;4985;5435;5514;5434;5513;5291;5512;5290;5511;5289;5510;5288;5065;5287;5588;5064;5286;5587;5063;5285;5586;5062;5284;5061;5440;5283;5060;5059
6;0;200;10,779;74,095;75;641;640;639;638;637;636;635;634;566;565;564;563;562;561;560;559;558;491;490;489;488;487;486;485;484;483;416;415;414;413;412;411;410;409;408;341;340;339;338;788;337;787;336;786;335;334;333;715;714;266;713;265;712;264;711;263;710;262;261;709;260;259;258;190;189;188;187;186;185;184;114;113;112;111;110
6;1;200;139,270;74,045;75;4990;4989;4988;4987;5366;5141;4986;5365;5140;4985;5364;5139;4984;5216;5363;5138;5439;5215;5362;5137;5214;5438;5361;5136;5437;5213;5360;5436;5212;5359;5135;5211;5435;5358;5134;5210;5434;5133;5209;5433;5208;5291;5066;5290;5065;5289;5064;5288;5515;5589;5063;5287;5514;5588;5062;5286;5513;5587;5061;5285;5512;5060;5586;5284;5511;5059;5585;5283;5510;5509;5441;5440;4913;4912;4911
7;0;200;10,907;74,114;84;641;640;639;638;637;636;635;634;633;566;565;564;563;562;561;560;559;558;492;491;490;489;488;487;486;485;484;483;482;417;416;415;414;413;412;411;410;409;408;407;342;341;340;339;338;337;336;789;335;788;334;787;333;786;785;266;265;715;264;263;714;262;713;261;712;260;711;259;710;258;709;191;190;189;188;187;186;185;184;114;113;112;111;110
7;1;200;139,141;74,047;84;4990;4989;5367;4988;5366;4987;5365;4986;5364;4985;5363;4984;5362;5141;5361;5140;5360;5359;5139;5358;5439;5138;5357;5438;5137;5136;5437;5436;5135;5589;5134;5435;5588;5515;5133;5434;5587;5514;5513;5586;5433;5512;5217;5585;5511;5216;5510;5215;5292;5509;5214;5291;5213;5290;5212;5289;5288;5211;5066;5287;5210;5065;5286;5064;5209;5285;5063;5208;5284;5062;5207;5283;5061;5441;5282;5060;5440;5059;5058;4914;4913;4912;4911;4910
8;0;200;11,036;74,132;93;641;640;639;638;637;636;635;634;633;567;566;565;564;563;562;561;560;559;558;557;790;789;788;787;786;785;492;491;490;489;488;487;486;485;716;484;715;483;714;482;713;712;711;710;709;708;417;416;415;414;413;412;411;410;409;408;407;342;341;340;339;338;337;336;335;334;333;332;266;265;264;263;262;261;260;259;258;191;190;189;188;187;186;185;184;183;115;114;113;112;111;110;109
