Frame;ID;Fluid Velocity;Agent Velocity;Qtd of Particles;Agent Mass in kg 
1;0;float3(0f, 0f, 0f);float3(0.04058585f, 0f, -0.001783192f);0;65
1;1;float3(0f, 0f, 0f);float3(0.03939919f, 0f, -0.009904255f);0;65
1;2;float3(0f, 0f, 0f);float3(0.03567353f, 0f, -0.01943681f);0;65
1;3;float3(0f, 0f, 0f);float3(0.04061952f, 0f, -0.0006670892f);0;65
1;4;float3(0f, 0f, 0f);float3(0.03962145f, 0f, 0.008973889f);0;65
1;5;float3(0f, 0f, 0f);float3(0.04051035f, 0f, -0.003049854f);0;65
1;6;float3(0f, 0f, 0f);float3(0.03973083f, 0f, 0.008476535f);0;65
1;7;float3(0f, 0f, 0f);float3(0.04061364f, 0f, -0.0009607432f);0;65
1;8;float3(0f, 0f, 0f);float3(0.04057987f, 0f, 0.00191426f);0;65
1;9;float3(0f, 0f, 0f);float3(0.04035457f, 0f, 0.004679667f);0;65
1;10;float3(0f, 0f, 0f);float3(0.0406239f, 0f, 0.0002992848f);0;65
1;11;float3(0f, 0f, 0f);float3(0.04056153f, 0f, -0.002269865f);0;65
1;12;float3(0f, 0f, 0f);float3(0.04059903f, 0f, 0.001452474f);0;65
1;13;float3(0f, 0f, 0f);float3(0.04041076f, 0f, 0.004166648f);0;65
1;14;float3(0f, 0f, 0f);float3(0.0405203f, 0f, -0.00291483f);0;65
1;15;float3(0f, 0f, 0f);float3(0.04061117f, 0f, 0.00105983f);0;65
1;16;float3(0f, 0f, 0f);float3(0.03948258f, 0f, 0.009566402f);0;65
1;17;float3(0f, 0f, 0f);float3(0.04027814f, 0f, -0.001633019f);0;65
1;18;float3(0f, 0f, 0f);float3(0.04062493f, 0f, 7.717722E-05f);0;65
1;19;float3(0f, 0f, 0f);float3(0.04062391f, 0f, 0.0002962612f);0;65
1;20;float3(0f, 0f, 0f);float3(0.03924965f, 0f, 0.01048122f);0;65
1;21;float3(0f, 0f, 0f);float3(0.04058377f, 0f, 0.001829745f);0;65
1;22;float3(0f, 0f, 0f);float3(0.04046553f, 0f, -0.003596081f);0;65
1;23;float3(0f, 0f, 0f);float3(0.04038799f, 0f, 0.004381815f);0;65
1;24;float3(0f, 0f, 0f);float3(0.04040174f, 0f, 0.0042532f);0;65
1;25;float3(0f, 0f, 0f);float3(0.04041639f, 0f, -0.004111658f);0;65
1;26;float3(0f, 0f, 0f);float3(0.04057078f, 0f, -0.002098213f);0;65
1;27;float3(0f, 0f, 0f);float3(0.04062003f, 0f, 0.0006355631f);0;65
1;28;float3(0f, 0f, 0f);float3(0.04061736f, 0f, -0.0007877921f);0;65
1;29;float3(0f, 0f, 0f);float3(0.03977656f, 0f, -0.008259292f);0;65
1;30;float3(0f, 0f, 0f);float3(0.04047849f, 0f, -0.003447115f);0;65
1;31;float3(0f, 0f, 0f);float3(0.0404369f, 0f, 0.003904836f);0;65
1;32;float3(0f, 0f, 0f);float3(0.04055681f, 0f, -0.002352704f);0;65
1;33;float3(0f, 0f, 0f);float3(0.04062349f, 0f, -0.0003504628f);0;65
1;34;float3(0f, 0f, 0f);float3(0.03994425f, 0f, 0.007405915f);0;65
1;35;float3(0f, 0f, 0f);float3(0.03971743f, 0f, -0.008539094f);0;65
1;36;float3(0f, 0f, 0f);float3(0.04013059f, 0f, 0.006318711f);0;65
1;37;float3(0f, 0f, 0f);float3(0.04027452f, 0f, -0.005324771f);0;65
1;38;float3(0f, 0f, 0f);float3(0.04016843f, 0f, 0.006073498f);0;65
1;39;float3(0f, 0f, 0f);float3(0.04062374f, 0f, -0.0003200507f);0;65
1;40;float3(0f, 0f, 0f);float3(0.04059748f, 0f, 0.001495018f);0;65
1;41;float3(0f, 0f, 0f);float3(0.04016946f, 0f, 0.006066781f);0;65
1;42;float3(0f, 0f, 0f);float3(0.04047791f, 0f, -0.003453936f);0;65
1;43;float3(0f, 0f, 0f);float3(0.03114717f, 0f, 0.007951132f);0;65
1;44;float3(0f, 0f, 0f);float3(0.03952461f, 0f, 0.009391256f);0;65
1;45;float3(0f, 0f, 0f);float3(0.04046021f, 0f, -0.003655349f);0;65
1;46;float3(0f, 0f, 0f);float3(0.04054273f, 0f, 0.002584154f);0;65
1;47;float3(0f, 0f, 0f);float3(0.04060703f, 0f, -0.001208051f);0;65
1;48;float3(0f, 0f, 0f);float3(0.03883579f, 0f, 0.0119236f);0;65
1;49;float3(0f, 0f, 0f);float3(0.03931862f, 0f, 0.01021942f);0;65
1;50;float3(0f, 0f, 0f);float3(0.03682301f, 0f, 0.01715973f);0;65
1;51;float3(0f, 0f, 0f);float3(0.03977492f, 0f, -0.00826716f);0;65
1;52;float3(0f, 0f, 0f);float3(0.01777141f, 0f, 0.006571013f);0;65
1;53;float3(0f, 0f, 0f);float3(0.03832804f, 0f, 0.006145912f);0;65
1;54;float3(0f, 0f, 0f);float3(0.03218471f, 0f, 0.005982333f);0;65
1;55;float3(0f, 0f, 0f);float3(0.01606644f, 0f, 0.003642683f);0;65
1;56;float3(0f, 0f, 0f);float3(0.03270701f, 0f, 0.006741038f);0;65
1;57;float3(0f, 0f, 0f);float3(0.02347987f, 0f, 0.01168783f);0;65
1;58;float3(0f, 0f, 0f);float3(0.01249637f, 0f, 0.0148713f);0;65
1;59;float3(0f, 0f, 0f);float3(0.01612192f, 0f, 0.01215647f);0;65
1;60;float3(0f, 0f, 0f);float3(0.001405537f, 0f, 0.02469046f);0;65
1;61;float3(0f, 0f, 0f);float3(0.0109078f, 0f, 0.007298495f);0;65
1;62;float3(0f, 0f, 0f);float3(-0.008887335f, 0f, 0.01489229f);0;65
1;63;float3(0f, 0f, 0f);float3(-0.0124003f, 0f, 0.01949175f);0;65
1;64;float3(0f, 0f, 0f);float3(-0.03062196f, 0f, 0.01783022f);0;65
1;65;float3(0f, 0f, 0f);float3(-0.02364251f, 0f, 0.01298291f);0;65
1;66;float3(0f, 0f, 0f);float3(-0.01708576f, 0f, 0.01578791f);0;65
1;67;float3(0f, 0f, 0f);float3(-0.03436475f, 0f, 0.01416524f);0;65
1;68;float3(0f, 0f, 0f);float3(-0.02887736f, 0f, 0.00834052f);0;65
1;69;float3(0f, 0f, 0f);float3(-0.03398951f, 0f, 0.003459158f);0;65
1;70;float3(0f, 0f, 0f);float3(-0.04034456f, 0f, 0.004765196f);0;65
1;71;float3(0f, 0f, 0f);float3(-0.03997365f, 0f, 0.007245524f);0;65
1;72;float3(0f, 0f, 0f);float3(0.04053275f, 0f, 0.002736238f);0;65
1;73;float3(0f, 0f, 0f);float3(0.03143257f, 0f, 0.01501616f);0;65
1;74;float3(0f, 0f, 0f);float3(0.02923737f, 0f, 0.02177382f);0;65
1;75;float3(0f, 0f, 0f);float3(0.02054638f, 0f, 0.01543541f);0;65
1;76;float3(0f, 0f, 0f);float3(0.02834926f, 0f, 0.008960128f);0;65
1;77;float3(0f, 0f, 0f);float3(0.01685871f, 0f, 0.01083357f);0;65
1;78;float3(0f, 0f, 0f);float3(0.0132504f, 0f, 0.02555851f);0;65
1;79;float3(0f, 0f, 0f);float3(0.00848644f, 0f, 0.03972872f);0;65
1;80;float3(0f, 0f, 0f);float3(0.0001625312f, 0f, 0.04062467f);0;65
1;81;float3(0f, 0f, 0f);float3(0.0001340982f, 0f, 0.03085283f);0;65
1;82;float3(0f, 0f, 0f);float3(-0.01032556f, 0f, 0.03929088f);0;65
1;83;float3(0f, 0f, 0f);float3(0.003687162f, 0f, 0.04045733f);0;65
1;84;float3(0f, 0f, 0f);float3(0.002917328f, 0f, 0.03810459f);0;65
1;85;float3(0f, 0f, 0f);float3(-0.005633834f, 0f, 0.03345201f);0;65
1;86;float3(0f, 0f, 0f);float3(-0.02520341f, 0f, 0.03186186f);0;65
1;87;float3(0f, 0f, 0f);float3(-0.0162815f, 0f, 0.03721966f);0;65
1;88;float3(0f, 0f, 0f);float3(-0.02086802f, 0f, 0.02478054f);0;65
1;89;float3(0f, 0f, 0f);float3(-0.02055969f, 0f, 0.0350384f);0;65
1;90;float3(0f, 0f, 0f);float3(-0.03172338f, 0f, 0.02415393f);0;65
1;91;float3(0f, 0f, 0f);float3(-0.02064921f, 0f, 0.03498572f);0;65
1;92;float3(0f, 0f, 0f);float3(-0.03355666f, 0f, 0.0228985f);0;65
1;93;float3(0f, 0f, 0f);float3(0.03706687f, 0f, 0.01662641f);0;65
1;94;float3(0f, 0f, 0f);float3(0.01483937f, 0f, 0.03781777f);0;65
1;95;float3(0f, 0f, 0f);float3(0.01359951f, 0f, 0.03828112f);0;65
1;96;float3(0f, 0f, 0f);float3(0.02779989f, 0f, 0.02962358f);0;65
1;97;float3(0f, 0f, 0f);float3(0.02685048f, 0f, 0.03048676f);0;65
1;98;float3(0f, 0f, 0f);float3(0.01994019f, 0f, 0.03386276f);0;65
1;99;float3(0f, 0f, 0f);float3(0.01702735f, 0f, 0.03688441f);0;65
2;0;float3(0f, 0f, 0f);float3(0.04062497f, 0f, 4.987302E-05f);0;65
2;1;float3(0f, 0f, 0f);float3(0.03912846f, 0f, -0.01092493f);0;65
2;2;float3(0f, 0f, 0f);float3(0.03490226f, 0f, -0.02078997f);0;65
2;3;float3(0f, 0f, 0f);float3(0.04060797f, 0f, 0.00117617f);0;65
2;4;float3(0f, 0f, 0f);float3(0.04008552f, 0f, 0.006598589f);0;65
2;5;float3(0f, 0f, 0f);float3(0.0405343f, 0f, -0.002713093f);0;65
2;6;float3(0f, 0f, 0f);float3(0.03903712f, 0f, 0.01124693f);0;65
2;7;float3(0f, 0f, 0f);float3(0.04060081f, 0f, -0.001401772f);0;65
2;8;float3(0f, 0f, 0f);float3(0.04058222f, 0f, 0.001863906f);0;65
2;9;float3(0f, 0f, 0f);float3(0.0403964f, 0f, 0.004303705f);0;65
2;10;float3(0f, 0f, 0f);float3(0.04062326f, 0f, 0.0003754657f);0;65
2;11;float3(0f, 0f, 0f);float3(0.04055259f, 0f, -0.002424472f);0;65
2;12;float3(0f, 0f, 0f);float3(0.04060827f, 0f, 0.001165819f);0;65
2;13;float3(0f, 0f, 0f);float3(0.04041284f, 0f, 0.004146428f);0;65
2;14;float3(0f, 0f, 0f);float3(0.04051266f, 0f, -0.00301906f);0;65
2;15;float3(0f, 0f, 0f);float3(0.04061072f, 0f, 0.001076909f);0;65
2;16;float3(0f, 0f, 0f);float3(0.03854488f, 0f, 0.008877711f);0;65
2;17;float3(0f, 0f, 0f);float3(0.04025112f, 0f, -0.0054989f);0;65
2;18;float3(0f, 0f, 0f);float3(0.04062497f, 0f, -4.888726E-05f);0;65
2;19;float3(0f, 0f, 0f);float3(0.0406249f, 0f, 8.800619E-05f);0;65
2;20;float3(0f, 0f, 0f);float3(0.03969185f, 0f, 0.008657228f);0;65
2;21;float3(0f, 0f, 0f);float3(0.04062453f, 0f, 0.0001943738f);0;65
2;22;float3(0f, 0f, 0f);float3(0.03944117f, 0f, -0.003250956f);0;65
2;23;float3(0f, 0f, 0f);float3(0.03884923f, 0f, 0.01187972f);0;65
2;24;float3(0f, 0f, 0f);float3(0.04041092f, 0f, 0.004165135f);0;65
2;25;float3(0f, 0f, 0f);float3(0.03812082f, 0f, -0.003245947f);0;65
2;26;float3(0f, 0f, 0f);float3(0.04062377f, 0f, -0.000316674f);0;65
2;27;float3(0f, 0f, 0f);float3(0.04060771f, 0f, 0.001184872f);0;65
2;28;float3(0f, 0f, 0f);float3(0.04062372f, 0f, 0.0003217566f);0;65
2;29;float3(0f, 0f, 0f);float3(0.04017023f, 0f, -0.006061629f);0;65
2;30;float3(0f, 0f, 0f);float3(0.04062325f, 0f, 0.0003765174f);0;65
2;31;float3(0f, 0f, 0f);float3(0.04040974f, 0f, 0.004176536f);0;65
2;32;float3(0f, 0f, 0f);float3(0.04056776f, 0f, -0.002155843f);0;65
2;33;float3(0f, 0f, 0f);float3(0.04057598f, 0f, -0.001995097f);0;65
2;34;float3(0f, 0f, 0f);float3(0.03998727f, 0f, 0.007170012f);0;65
2;35;float3(0f, 0f, 0f);float3(0.04014517f, 0f, -0.006225401f);0;65
2;36;float3(0f, 0f, 0f);float3(0.0401438f, 0f, 0.006234261f);0;65
2;37;float3(0f, 0f, 0f);float3(0.04031615f, 0f, -0.004999867f);0;65
2;38;float3(0f, 0f, 0f);float3(0.04025247f, 0f, 0.005488965f);0;65
2;39;float3(0f, 0f, 0f);float3(0.04062473f, 0f, -0.0001490339f);0;65
2;40;float3(0f, 0f, 0f);float3(0.04062498f, 0f, 3.290019E-05f);0;65
2;41;float3(0f, 0f, 0f);float3(0.04033936f, 0f, 0.004808999f);0;65
2;42;float3(0f, 0f, 0f);float3(0.04041694f, 0f, -0.004106307f);0;65
2;43;float3(0f, 0f, 0f);float3(0.02963156f, 0f, 0.00712921f);0;65
2;44;float3(0f, 0f, 0f);float3(0.03953804f, 0f, 0.009334561f);0;65
2;45;float3(0f, 0f, 0f);float3(0.04048015f, 0f, -0.003427478f);0;65
2;46;float3(0f, 0f, 0f);float3(0.04054891f, 0f, 0.00248523f);0;65
2;47;float3(0f, 0f, 0f);float3(0.04059641f, 0f, 0.00152374f);0;65
2;48;float3(0f, 0f, 0f);float3(0.03956829f, 0f, 0.009205489f);0;65
2;49;float3(0f, 0f, 0f);float3(0.0400466f, 0f, 0.006830847f);0;65
2;50;float3(0f, 0f, 0f);float3(0.0344576f, 0f, 0.02151893f);0;65
2;51;float3(0f, 0f, 0f);float3(0.03959387f, 0f, -0.009094849f);0;65
2;52;float3(0f, 0f, 0f);float3(0.01850586f, 0f, 0.005748064f);0;65
2;53;float3(0f, 0f, 0f);float3(0.03498692f, 0f, 0.005979561f);0;65
2;54;float3(0f, 0f, 0f);float3(0.03308196f, 0f, 0.006313471f);0;65
2;55;float3(0f, 0f, 0f);float3(0.01468672f, 0f, 0.003540844f);0;65
2;56;float3(0f, 0f, 0f);float3(0.02851299f, 0f, 0.01029581f);0;65
2;57;float3(0f, 0f, 0f);float3(0.02118498f, 0f, 0.01080395f);0;65
2;58;float3(0f, 0f, 0f);float3(0.0114267f, 0f, 0.0135986f);0;65
2;59;float3(0f, 0f, 0f);float3(0.01862903f, 0f, 0.01355448f);0;65
2;60;float3(0f, 0f, 0f);float3(0.0008237783f, 0f, 0.0235872f);0;65
2;61;float3(0f, 0f, 0f);float3(0.009667909f, 0f, 0.00661951f);0;65
2;62;float3(0f, 0f, 0f);float3(-0.01556728f, 0f, 0.01779567f);0;65
2;63;float3(0f, 0f, 0f);float3(-0.007687691f, 0f, 0.02005113f);0;65
2;64;float3(0f, 0f, 0f);float3(-0.02878329f, 0f, 0.01674836f);0;65
2;65;float3(0f, 0f, 0f);float3(-0.02157217f, 0f, 0.01208512f);0;65
2;66;float3(0f, 0f, 0f);float3(-0.01767932f, 0f, 0.01883696f);0;65
2;67;float3(0f, 0f, 0f);float3(-0.0378906f, 0f, 0.0146524f);0;65
2;68;float3(0f, 0f, 0f);float3(-0.02565465f, 0f, 0.007319582f);0;65
2;69;float3(0f, 0f, 0f);float3(-0.03130615f, 0f, 0.009727241f);0;65
2;70;float3(0f, 0f, 0f);float3(-0.0403014f, 0f, 0.00511737f);0;65
2;71;float3(0f, 0f, 0f);float3(-0.04011324f, 0f, 0.006427956f);0;65
2;72;float3(0f, 0f, 0f);float3(0.04052987f, 0f, 0.002778502f);0;65
2;73;float3(0f, 0f, 0f);float3(0.03302014f, 0f, 0.01590069f);0;65
2;74;float3(0f, 0f, 0f);float3(0.02980071f, 0f, 0.0175768f);0;65
2;75;float3(0f, 0f, 0f);float3(0.02559496f, 0f, 0.01843253f);0;65
2;76;float3(0f, 0f, 0f);float3(0.02908675f, 0f, 0.00642486f);0;65
2;77;float3(0f, 0f, 0f);float3(0.01556144f, 0f, 0.01046524f);0;65
2;78;float3(0f, 0f, 0f);float3(0.0101795f, 0f, 0.02541182f);0;65
2;79;float3(0f, 0f, 0f);float3(0.008788742f, 0f, 0.03874163f);0;65
2;80;float3(0f, 0f, 0f);float3(7.473288E-05f, 0f, 0.04062493f);0;65
2;81;float3(0f, 0f, 0f);float3(-7.765005E-05f, 0f, 0.0319307f);0;65
2;82;float3(0f, 0f, 0f);float3(-0.00718684f, 0f, 0.03998424f);0;65
2;83;float3(0f, 0f, 0f);float3(0.002444567f, 0f, 0.04055138f);0;65
2;84;float3(0f, 0f, 0f);float3(0.002342889f, 0f, 0.03588624f);0;65
2;85;float3(0f, 0f, 0f);float3(-0.00249075f, 0f, 0.0334762f);0;65
2;86;float3(0f, 0f, 0f);float3(-0.02739393f, 0f, 0.02999939f);0;65
2;87;float3(0f, 0f, 0f);float3(-0.01577104f, 0f, 0.03743881f);0;65
2;88;float3(0f, 0f, 0f);float3(-0.01823277f, 0f, 0.03366236f);0;65
2;89;float3(0f, 0f, 0f);float3(-0.01933525f, 0f, 0.03572868f);0;65
2;90;float3(0f, 0f, 0f);float3(-0.02628115f, 0f, 0.0309789f);0;65
2;91;float3(0f, 0f, 0f);float3(-0.02174947f, 0f, 0.03431255f);0;65
2;92;float3(0f, 0f, 0f);float3(-0.03374272f, 0f, 0.02262342f);0;65
2;93;float3(0f, 0f, 0f);float3(0.03682218f, 0f, 0.01716151f);0;65
2;94;float3(0f, 0f, 0f);float3(0.01234862f, 0f, 0.03870274f);0;65
2;95;float3(0f, 0f, 0f);float3(0.01500452f, 0f, 0.03775255f);0;65
2;96;float3(0f, 0f, 0f);float3(0.02781039f, 0f, 0.02961372f);0;65
2;97;float3(0f, 0f, 0f);float3(0.02529832f, 0f, 0.03178656f);0;65
2;98;float3(0f, 0f, 0f);float3(0.01956159f, 0f, 0.03497823f);0;65
2;99;float3(0f, 0f, 0f);float3(0.01782069f, 0f, 0.03650772f);0;65
3;0;float3(0f, 0f, 0f);float3(0.04054855f, 0f, -0.002491142f);0;65
3;1;float3(0f, 0f, 0f);float3(0.03917561f, 0f, -0.01075461f);0;65
3;2;float3(0f, 0f, 0f);float3(0.0354417f, 0f, -0.01985638f);0;65
3;3;float3(0f, 0f, 0f);float3(0.04061195f, 0f, 0.001029568f);0;65
3;4;float3(0f, 0f, 0f);float3(0.04034033f, 0f, 0.004800909f);0;65
3;5;float3(0f, 0f, 0f);float3(0.04054198f, 0f, -0.002595775f);0;65
3;6;float3(0f, 0f, 0f);float3(0.03902573f, 0f, 0.01128641f);0;65
3;7;float3(0f, 0f, 0f);float3(0.04059611f, 0f, -0.001531961f);0;65
